"name","full_name"
"10111","10111 - Забой скота на скотобойне, обработка или расфасовка мяса"
"10112","10112 - Производство свежего, охлажденного или замороженного мяса"
"10119","10119 - Прочая деятельность по переработке мяса"
"10120","10120 - Переработка мяса домашней птицы"
"10131","10131 - Производство соленых, в рассоле, сушеных или копченых мяса, мяса птицы и пищевых субпродуктов"
"10132","10132 - Производство колбасных изделий"
"10139","10139 - Производство прочих мясных продуктов, не включенных в другие категории"
"10200","10200 - Переработка и консервирование рыбы, ракообразных и моллюсков"
"10310","10310 - Переработка и консервирование картофеля"
"10320","10320 - Производство фруктовых и овощных соков"
"10390","10390 - Прочие виды переработки и консервирования фруктов и овощей"
"10410","10410 - Производство растительных и животных масел и жиров"
"10420","10420 - Производство маргарина и смешанных пищевых жиров"
"10510","10510 - Переработка молока и производство сыра"
"10520","10520 - Производство мороженого"
"10610","10610 - Производство продуктов мукомольно-крупяной промышленности"
"10620","10620 - Производство крахмала и продукции из крахмала"
"10710","10710 - Производство хлеба, свежих мучных кондитерских изделий, тортов и пирожных"
"10720","10720 - Производство сухарей и печенья, мучных кондитерских изделий длительного хранения"
"10730","10730 - Производство макаронных изделий и аналогичных мучных продуктов"
"10810","10810 - Производство сахара"
"10820","10820 - Производство какао, шоколада и сахаристых кондитерских изделий"
"10830","10830 - Переработка чая и кофе"
"10840","10840 - Производство пряностей и приправ"
"10850","10850 - Производство готовых пищевых продуктов"
"10860","10860 - Производство детского питания и диетических пищевых продуктов"
"10890","10890 - Производство прочих продуктов питания, не включенных в другие категории"
"10910","10910 - Производство готовых кормов для животных, содержащихся на фермах"
"10920","10920 - Производство готовых кормов для домашних животных"
"11010","11010 - Дистилляция, ректификация и смешивание спиртных напитков"
"11020","11020 - Производство вина из винограда"
"11030","11030 - Производство сидра и прочих фруктовых вин"
"11040","11040 - Производство прочих недистиллированных ферментированных напитков"
"11050","11050 - Производство пива"
"11060","11060 - Производство солода"
"11070","11070 - Производство безалкогольных напитков; производство минеральных вод и других вод в бутылках"
"12000","12000 - Производство табачных изделий"
"13101","13101 - Подготовка и прядение хлопковых волокон"
"13102","13102 - Подготовка и прядение шерстяных волокон"
"13103","13103 - Подготовка и прядение шелковых волокон"
"13109","13109 - Подготовка и прядение прочих волокон"
"13201","13201 - Производство хлопчатобумажных тканей"
"13202","13202 - Производство шерстяных тканей"
"13203","13203 - Производство шелковых тканей"
"13209","13209 - Производство прочих тканей"
"13300","13300 - Отделка текстильных изделий"
"13910","13910 - Производство вязанного и трикотажного полотна"
"13920","13920 - Производство готовых текстильных изделий, кроме одежды"
"13930","13930 - Производство ковров и ковровых изделий"
"13940","13940 - Производство веревок, канатов, бечевок, шнурков, шнуров и плетение сетей"
"13950","13950 - Производство нетканых изделий, за исключением одежды"
"13960","13960 - Производство прочих технических и промышленных текстильных изделий"
"13990","13990 - Производство прочих текстильных изделий, не включенных в другие категории"
"14110","14110 - Производство одежды из кожи"
"14120","14120 - Производство спецодежды"
"14130","14130 - Производство прочей верхней одежды"
"14140","14140 - Производство нижнего белья"
"14190","14190 - Производство прочей одежды и аксессуаров"
"14200","14200 - Производство меховых изделий"
"14310","14310 - Производство вязаных и трикотажных чулочно-носочных изделий"
"14390","14390 - Производство прочих вязаных и трикотажных изделий"
"15110","15110 - Дубление и выделка кожи; выделка и окраска меха"
"15120","15120 - Производство багажных сумок, дамских сумочек и других изделий из кожи"
"15200","15200 - Производство обуви"
"16100","16100 - Лесопильное и строгальное производство"
"16210","16210 - Производство шпона, фанеры, плит и панелей из древесины"
"16220","16220 - Производство сборных паркетных покрытий"
"16230","16230 - Производство прочих деревянных строительных конструкций и столярных изделий"
"16240","16240 - Производство деревянной тары"
"16290","16290 - Производство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения"
"17110","17110 - Производство древесной массы и целлюлозы"
"17120","17120 - Производство бумаги и картона"
"17210","17210 - Производство гофрированной бумаги и картона, бумажной и картонной тары"
"17220","17220 - Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения"
"17230","17230 - Производство писчебумажных изделий"
"17240","17240 - Производство обоев"
"17290","17290 - Производство прочих изделий из бумаги и картона"
"18110","18110 - Печатание газет"
"18120","18120 - Прочие виды полиграфической деятельности"
"18130","18130 - Изготовление печатных форм и информационная деятельность"
"18140","18140 - Брошюровочно-переплетная и отделочная деятельность и сопутствующие услуги"
"18200","18200 - Воспроизведение записей с носителя"
"19100","19100 - Производство продукции коксовых печей"
"19200","19200 - Производство продуктов нефтепереработки"
"20110","20110 - Производство промышленных газов"
"20120","20120 - Производство красителей и пигментов"
"20130","20130 - Производство прочих основных неорганических химических веществ"
"20140","20140 - Производство прочих основных органических химических веществ"
"20151","20151 - Производство удобрений"
"20152","20152 - Производство азотосодержащих смесей"
"20160","20160 - Производство пластика в первичных формах"
"20170","20170 - Производство синтетического каучука в первичной форме"
"20200","20200 - Производство пестицидов и прочих агрохимических продуктов"
"20300","20300 - Производство красок, лаков и аналогичных красящих веществ, типографской краски и мастики"
"20410","20410 - Производство мыла и моющих средств, чистящих и полирующих препаратов"
"20420","20420 - Производство парфюмерных и косметических средств"
"20510","20510 - Производство взрывчатых веществ"
"20520","20520 - Производство клея"
"20530","20530 - Производство эфирных масел"
"20590","20590 - Производство прочих химических продуктов, не включенных в другие категории"
"20600","20600 - Производство искусственных волокон"
"21100","21100 - Производство основных фармацевтических продуктов"
"21200","21200 - Производство фармацевтических препаратов"
"22111","22111 - Производство резиновых шин, покрышек и камер"
"22112","22112 - Восстановление резиновых шин и покрышек"
"22190","22190 - Производство прочих резиновых изделий"
"22210","22210 - Производство пластмассовых плит, полос, труб и профилей"
"22220","22220 - Производство пластиковых упаковок для товаров"
"22230","22230 - Производство строительных пластиковых изделий"
"22290","22290 - Производство прочих пластмассовых изделий"
"23110","23110 - Производство листового стекла"
"23120","23120 - Формование и обработка листового стекла"
"23130","23130 - Производство полых стеклянных изделий"
"23140","23140 - Производство стекловолокна"
"23190","23190 - Производство и обработка прочих стеклянных изделий, включая технических"
"23200","23200 - Производство огнеупорных изделий"
"23310","23310 - Производство керамических покрытий и плит"
"23320","23320 - Производство кирпича, черепицы и прочих строительных изделий из обожженной глины"
"23410","23410 - Производство керамических бытовых и декоративных изделий"
"23420","23420 - Производство керамических гигиенических санитарно-технических изделий"
"23430","23430 - Производство керамических изоляционных материалов и гарнитуры"
"23440","23440 - Производство прочих технических керамических изделий"
"23490","23490 - Производство прочих керамических изделий"
"23510","23510 - Производство цемента"
"23520","23520 - Производство извести и строительного гипса"
"23610","23610 - Производство строительных изделий из бетона"
"23620","23620 - Производство изделий из гипса для строительных целей"
"23630","23630 - Производство готового бетона"
"23640","23640 - Производство сухих бетонных смесей"
"23650","23650 - Производство волокнистого цемента"
"23690","23690 - Производство прочих изделий из бетона, строительного гипса и цемента"
"23700","23700 - Резка, обработка и отделка камня"
"23910","23910 - Производство абразивных изделий"
"23990","23990 - Производство прочей неметаллической минеральной продукции, не включенной в другие категории"
"24100","24100 - Производство чугуна, стали и ферросплавов"
"24200","24200 - Производство труб, трубопроводов, профилей, фитингов из стали"
"24310","24310 - Холодное волочение"
"24320","24320 - Холодная прокатка лент и узких полос"
"24330","24330 - Холодная формовка или фальцовка"
"24340","24340 - Производство проволоки путем холодного вытягивания"
"24410","24410 - Производство благородных (драгоценных) металлов"
"24420","24420 - Производство алюминия"
"24430","24430 - Производство свинца, цинка и олова"
"24440","24440 - Производство меди"
"24450","24450 - Производство прочих цветных металлов"
"24460","24460 - Переработка ядерного топлива"
"24510","24510 - Литье чугуна"
"24520","24520 - Литье стали"
"24530","24530 - Литье легких металлов"
"24540","24540 - Литье других цветных металлов"
"25110","25110 - Производство строительных металлических конструкций и изделий"
"25120","25120 - Производство металлических дверей и окон"
"25210","25210 - Производство радиаторов и котлов центрального отопления"
"25290","25290 - Производство прочих металлических цистерн, резервуаров и контейнеров"
"25300","25300 - Производство паровых котлов, кроме котлов центрального отопления"
"25400","25400 - Производство оружия и боеприпасов"
"25500","25500 - Ковка, прессование, штамповка, профилирование листового металла роликами и профилировка листового металла на роликовой листогибочной машине; порошковая металлургия"
"26610","26610 - Обработка металлов и нанесение покрытий на металлы"
"25620","25620 - Основные технологические процессы машиностроения"
"25710","25710 - Производство столовых приборов"
"25720","25720 - Производство замков, петель и шарниров"
"25730","25730 - Производство инструментов"
"25910","25910 - Производство металлических бочек и аналогичных емкостей"
"25920","25920 - Производство упаковочного материала из легких металлов"
"25930","25930 - Производство изделий из проволоки, цепей и пружин"
"25940","25940 - Производство крепежных и резьбовых изделий"
"25990","25990 - Производство прочих готовых металлических изделий, не включенных в другие категории"
"26110","26110 - Производство электронных деталей"
"26120","26120 - Производство электронных панелей загрузки"
"26200","26200 - Производство компьютеров и периферийного оборудования"
"26300","26300 - Производство коммуникационного оборудования"
"26400","26400 - Производство приборов бытовой электроники"
"26510","26510 - Производство приборов и инструментов для измерения, контроля, испытаний, навигации"
"26520","26520 - Производство часов"
"26600","26600 - Производство облучающего, электромедицинского и электротерапевтического оборудования"
"26700","26700 - Производство оптических приборов и фотографического оборудования"
"26800","26800 - Производство магнитных и оптических средств передачи информации"
"27110","27110 - Производство электродвигателей, генераторов и трансформаторов"
"27120","27120 - Производство электрораспределительной и регулирующей аппаратуры"
"27200","27200 - Производство батарей и аккумуляторов"
"27310","27310 - Производство волоконно-оптического кабеля"
"27320","27320 - Производство прочих видов электропровода и кабеля"
"27330","27330 - Производство электроприборов"
"27400","27400 - Производство электроосветительного оборудования"
"27510","27510 - Производство электробытовых приборов"
"27520","27520 - Производство неэлектрических бытовых приборов"
"27900","27900 - Производство прочего электрического оборудования"
"28110","28110 - Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей"
"28120","28120 - Производство гидравлического и пневматического оборудования"
"28130","28130 - Производство прочих насосов и компрессоров"
"28140","28140 - Производство прочих кранов и вентилей"
"28150","28150 - Производство подшипников, шестеренок, элементов зубчатых передач и приводов"
"28210","28210 - Производство плит, печей и печных горелок"
"28220","28220 - Производство подъемно-транспортного оборудования"
"28230","28230 - Производство офисной техники и оборудования (за исключением компьютеров и периферийного оборудования)"
"28240","28240 - Производство ручных электрических инструментов"
"28250","28250 - Производство промышленного холодильного и вентиляционного оборудования"
"28290","28290 - Производство прочих машин и оборудования общего назначения, не включенных в другие категории"
"28300","28300 - Производство сельскохозяйственной и лесохозяйственной техники"
"28410","28410 - Производство оборудования для обработки металлов давлением"
"28490","28490 - Производство прочих металлообрабатывающих станков"
"28910","28910 - Производство машин и оборудования для металлургии"
"28920","28920 - Производство техники для горнодобывающей промышленности и подземной разработки"
"28930","28930 - Производство оборудования для производства и переработки продуктов питания, напитков и табачных изделий"
"28940","28940 - Производство машин и оборудования для изготовления текстильных, швейных, меховых и кожаных изделий"
"28950","28950 - Производство машин и оборудования для изготовления бумаги и картона"
"28960","28960 - Производство оборудования для переработки пластмасс и резины"
"28990","28990 - Производство прочих машин и оборудования специального назначения, не включенных в другие категории"
"29100","29100 - Производство моторных транспортных средств"
"29200","29200 - Производство кузовов для автотранспортных средств; производство трейлеров и полуприцепов"
"29310","29310 - Производство электрических и электронных комплектующих для автотранспортных средств"
"29320","29320 - Производство прочих комплектующих и аксессуаров для автотранспортных средств"
"30110","30110 - Строительство кораблей и плавучих конструкций"
"30120","30120 - Строительство прогулочных и спортивных лодок"
"30200","30200 - Производство железнодорожных локомотивов и подвижного состава"
"30300","30300 - Производство летательных аппаратов, включая космические"
"30400","30400 - Производство военных боевых транспортных средств"
"30910","30910 - Производство мотоциклов"
"30920","30920 - Производство велосипедов и инвалидных колясок/кресел"
"30990","30990 - Производство прочих транспортных средств и оборудования, не включенных в другие категории"
"31010","31010 - Производство офисной и магазинной мебели"
"31020","31020 - Производство кухонной мебели"
"31030","31030 - Производство матрасов"
"31090","31090 - Производство прочей мебели"
"32110","32110 - Чеканка монет"
"32120","32120 - Производство ювелирных изделий и аналогичных изделий"
"32130","32130 - Производство бижутерии и аналогичных изделий"
"32200","32200 - Производство музыкальных инструментов"
"32300","32300 - Производство спортивных товаров"
"32400","32400 - Производство игр и игрушек"
"32500","32500 - Производство медицинских и стоматологических инструментов и принадлежностей"
"32910","32910 - Производство метел и щеток"
"32990","32990 - Производство прочей продукции, не включенной в другие категории"
"33110","33110 - Ремонт готовых металлических изделий"
"33120","33120 - Ремонт машин и оборудования"
"33130","33130 - Ремонт электронного и оптического оборудования"
"33140","33140 - Ремонт электрического оборудования"
"33150","33150 - Ремонт, техническое обслуживание кораблей и лодок"
"33160","33160 - Ремонт, техническое обслуживание воздушных судов и космических судов"
"33171","33171 - Ремонт и техническое обслуживание железнодорожных локомотивов и подвижного состава, в том числе трамваев, вагонов метро и троллейбусов"
"33179","33179 - Ремонт и техническое обслуживание прочего транспортного оборудования, не включенного в другие категории"
"33190","33190 - Ремонт прочего оборудования"
"33200","33200 - Монтаж промышленной техники и оборудования"
"35111","35111 - Производство электроэнергии тепловыми электростанциями"
"35112","35112 - Производство электроэнергии гидроэлектростанциями"
"35119","35119 - Производство электроэнергии прочими электростанциями"
"35120","35120 - Передача электроэнергии"
"35130","35130 - Распределение электроэнергии"
"35140","35140 - Продажа электроэнергии"
"35210","35210 - Производство газа"
"35220","35220 - Распределение газообразного топлива через системы газоснабжения"
"35230","35230 - Продажа газообразного топлива по трубопроводам"
"35300","35300 - Системы подачи пара и кондиционирования воздуха"
"36000","36000 - Сбор, обработка и распределение воды"
"37000","37000 - Канализационная система"
"38110","38110 - Сбор неопасных отходов"
"38120","38120 - Сбор опасных отходов"
"38210","38210 - Обработка и удаление неопасных отходов"
"38220","38220 - Обработка и удаление опасных отходов"
"38310","38310 - Ликвидация обломков"
"38321","38321 - Сортировка и переработка металлических отходов для получения вторичного сырья"
"38322","38322 - Сортировка и переработка неметаллических отходов для получения вторичного сырья"
"39000","39000 - Восстановление и прочие услуги в области удаления отходов"
"41100","41100 - Разработка строительных проектов"
"41201","41201 - Строительство жилых зданий"
"41202","41202 - Строительство нежилых зданий"
"42110","42110 - Строительство дорог и шоссе"
"42120","42120 - Строительство железных дорог и линий метро"
"42130","42130 - Строительство мостов и туннелей"
"42210","42210 - Строительство распределительных инженерных объектов"
"42220","42220 - Строительство распределительных объектов для обеспечения электроэнергией и телекоммуникациями"
"42910","42910 - Строительство водных сооружений"
"42990","42990 - Строительство прочих инженерных сооружений, не включенных в другие категории"
"43110","43110 - Разборка и снос зданий"
"43120","43120 - Подготовительные работы на стройплощадке"
"43130","43130 - Разведочное бурение"
"43210","43210 - Электротехнические и монтажные работы"
"43220","43220 - Монтаж систем водоснабжения, отопления и кондиционирования воздуха"
"43291","43291 - Изоляционные работы"
"43299","43299 - Прочие строительно-монтажные работы, не включенные в другие категории"
"43310","43310 - Штукатурные работы"
"43320","43320 - Столярные и плотницкие работы"
"43330","43330 - Покрытие полов и облицовка стен"
"43340","43340 - Малярные и стекольные работы"
"43390","43390 - Прочие отделочные работы"
"43910","43910 - Кровельные работы"
"43990","43990 - Прочие специализированные строительные работы, не включенные в другие категории"
"45111","45111 - Оптовая торговля автомобилями и легкими автотранспортными средствами"
"451112","451112 - Розничная торговля автомобилями и легкими автотранспортными средствами"
"45191","45191 - Оптовая торговля прочими моторными транспортными средствами"
"45192","45192 - Розничная торговля прочими моторными транспортными средствами"
"45201","45201 - Техническое обслуживание и ремонт легковых автомобилей"
"45202","45202 - Техническое обслуживание и ремонт прочих автомобилей"
"45203","45203 - Мойка, полировка автомобилей и аналогичная деятельность"
"45209","45209 - Виды технического обслуживания и ремонта моторных транспортных средств, не включенные в другие категории"
"45310","45310 - Оптовая торговля деталями, узлами и принадлежностями для автомобилей"
"45320","45320 - Розничная торговля деталями, узлами и принадлежностями для автомобилей"
"45401","45401 - Оптовая торговля мотоциклами, их деталями, узлами и принадлежностями"
"45402","45402 - Розничная торговля мотоциклами, их деталями, узлами и принадлежностями"
"45403","45403 - Техническое обслуживание и ремонт мотоциклов"
"46110","46110 - Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
"46120","46120 - Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами"
"46130","46130 - Деятельность агентов по оптовой торговле древесиной и строительными материалами"
"46140","46140 - Деятельность агентов по торговле машинами, оборудованием, промышленным оборудова-нием, морскими и воздушными судами"
"46150","46150 - Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными и прочими металлическими изделиями"
"46160","46160 - Деятельность агентов по оптовой торговле текстильными изделиями, одеждой, обувью, изделиями из кожи и меха"
"46170","46170 - Деятельность агентов по оптовой торговле пищевыми продуктами, включая напитки, и табачными изделиями"
"46180","46180 - Деятельность агентов, специализирующихся на оптовой торговле отдельными видами товаров или группами товаров, не включенными в другие категории"
"46190","46190 - Деятельность агентов по оптовой торговле товарами широкого ассортимента"
"46211","46211 - Оптовая торговля зерном, семенами и кормами для животных"
"46212","46212 - Оптовая торговля необработанным табаком"
"46220","46220 - Оптовая торговля цветами и другими растениями"
"46230","46230 - Оптовая торговля живыми животными"
"46240","46240 - Оптовая торговля шкурами и кожей"
"46310","46310 - Оптовая торговля фруктами и овощами"
"46320","46320 - Оптовая торговля мясом и мясными продуктами"
"46330","46330 - Оптовая торговля молочными продуктами, яйцами, пищевыми маслами и жирами"
"46341","46341 - Оптовая торговля алкогольными напитками"
"46342","46342 - Оптовая торговля безалкогольными напитками и пивом"
"46350","46350 - Оптовая торговля табачными изделиями"
"46360","46360 - Оптовая торговля сахаром, шоколадом и сахаристыми кондитерскими изделиями"
"46370","46370 - Оптовая торговля кофе, чаем, какао и пряностями"
"46380","46380 - Оптовая торговля прочими продуктами питания, в том числе рыбой, ракообразными и моллюсками"
"46390","46390 - Неспециализированная оптовая торговля продуктами питания, включая напитки, и табачными изделиями"
"46410","46410 - Оптовая торговля текстильными товарами"
"46421","46421 - Оптовая торговля одеждой"
"46422","46422 - Оптовая торговля обувью"
"46431","46431 - Оптовая торговля бытовой радио- и телеаппаратурой"
"46432","46432 - Оптовая торговля аудио и видео пленками, дисками СD и DVD с записями"
"46439","46439 - Оптовая торговля прочими бытовыми электротоварами"
"46440","46440 - Оптовая торговля изделиями из фарфора, стеклянной посудой и чистящими средствами"
"46450","46450 - Оптовая торговля парфюмерными и косметическими товарами"
"46460","46460 - Оптовая торговля фармацевтическими товарами"
"46471","46471 - Оптовая торговля бытовой мебелью и коврами"
"46472","46472 - Оптовая торговля осветительным оборудованием"
"46480","46480 - Оптовая торговля часами и ювелирными изделиями"
"46490","46490 - Оптовая торговля прочими бытовыми товарами"
"46510","46510 - Оптовая торговля компьютерами, периферийным компьютерным оборудованием и программным обеспечением"
"46520","46520 - Оптовая торговля электронным и телекоммуникационным оборудованием и запчастями к нему"
"46610","46610 - Оптовая торговля сельскохозяйственной техникой, оборудованием и запасными частями"
"46620","46620 - Оптовая торговля механическими станками"
"46630","46630 - Оптовая торговля техникой для горнодобычи и гражданского строительства"
"46640","46640 - Оптовая торговля техникой для текстильного, швейного и трикотажного производств"
"46650","46650 - Оптовая торговля офисной мебелью"
"46660","46660 - Оптовая торговля прочей офисной техникой и оборудованием"
"46690","46690 - Оптовая торговля прочей техникой и оборудованием"
"46710","46710 - Оптовая торговля твердым, жидким и газообразным топливом и подобными продуктами"
"46720","46720 - Оптовая торговля металлами и металлическими рудами"
"46730","46730 - Оптовая торговля лесоматериалами, строительными материалами и санитарно-техническим оборудованием"
"46740","46740 - Оптовая торговля металлическими изделиями, водопроводным и отопительным оборудованием и инвентарем"
"46750","46750 - Оптовая торговля химическими продуктами"
"46760","46760 - Оптовая торговля прочими промежуточными продуктами"
"46770","46770 - Оптовая торговля отходами и ломом"
"46900","46900 - Оптовая неспециализированная торговля"
"47110","47110 - Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, включая напитки, и табачными изделиями"
"47190","47190 - Розничная торговля в неспециализированных магазинах прочими товарами"
"47210","47210 - Розничная торговля в специализированных магазинах фруктами и овощами"
"47220","47220 - Розничная торговля в специализированных магазинах мясом и мясными продуктами"
"47230","47230 - Розничная торговля в специализированных магазинах рыбой, ракообразными и моллюсками"
"47240","47240 - Розничная торговля в специализированных магазинах хлебобулочными изделиями, мучными и сахаристыми кондитерскими изделиями"
"47251","47251 - Розничная торговля алкогольными напитками"
"47252","47252 - Розничная торговля безалкогольными напитками и пивом"
"47260","47260 - Розничная торговля в специализированных магазинах табачными изделиями"
"47290","47290 - Розничная торговля в специализированных магазинах прочими продуктами питания"
"47300","47300 - Розничная торговля в специализированных магазинах моторным топливом"
"47410","47410 - Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах"
"47420","47420 - Розничная торговля в специализированных магазинах телекоммуникационным оборудованием"
"47430","47430 - Розничная торговля в специализированных магазинах аудио- и видеоаппаратурой"
"47510","47510 - Розничная торговля в специализированных магазинах текстильными изделиями"
"47520","47520 - Розничная торговля в специализированных магазинах скобяными изделиями, лакокрасочными материалами и стеклом"
"47531","47531 - Розничная торговля в специализированных магазинах коврами и ковровыми изделиями"
"47539","47539 - Розничная торговля в специализированных магазинах прочими настенными и напольными покрытиями"
"47540","47540 - Розничная торговля в специализированных магазинах бытовыми электротоварами"
"47591","47591 - Розничная торговля в специализированных магазинах мебелью"
"47599","47599 - Розничная торговля в специализированных магазинах осветительным оборудованием и прочими бытовыми товарами"
"47610","47610 - Розничная торговля в специализированных магазинах книгами"
"47620","47620 - Розничная торговля в специализированных магазинах газетами, журналами и канцелярскими товарами"
"47630","47630 - Розничная торговля в специализированных магазинах видео и аудио записями"
"47640","47640 - Розничная торговля в специализированных магазинах спортивными товарами"
"47650","47650 - Розничная торговля в специализированных магазинах играми и игрушками"
"47711","47711 - Розничная торговля в специализированных магазинах трикотажными и чулочно-носочными изделиями"
"47712","47712 - Розничная торговля в специализированных магазинах одеждой (кроме трикотажных и чулочно-носочных изделий)"
"47721","47721 - Розничная торговля в специализированных магазинах обувью"
"47722","47722 - Розничная торговля в специализированных магазинах кожаными изделиями"
"47730","47730 - Розничная торговля в специализированных магазинах фармацевтическими товарами"
"47740","47740 - Розничная торговля в специализированных магазинах медицинскими и ортопедическими товарами"
"47750","47750 - Розничная торговля в специализированных магазинах косметическими товарами и предметами гигиены"
"47760","47760 - Розничная торговля в специализированных магазинах цветами и другими растениями, семенами, удобрениями, домашними животными (питомцами) и кормом для них"
"47770","47770 - Розничная торговля в специализированных магазинах часами и ювелирными изделиями"
"47780","47780 - Розничная торговля в специализированных магазинах прочими новыми товарами"
"47790","47790 - Розничная торговля в магазинах товарами, бывшими в употреблении"
"47810","47810 - Розничная торговля продуктами питания, напитками и табачными изделиями в торговых палатках и на рынке"
"47820","47820 - Розничная торговля в палатках и на рынках текстилем, одеждой, обувью"
"47890","47890 - Розничная торговля в палатках и на рынках прочими товарами"
"47910","47910 - Розничная торговля по почте и через Интернет"
"47990","47990 - Прочая розничная торговля вне магазинов, палаток и рынков"
"49100","49100 - Пассажирский железнодорожный транспорт, междугородний"
"49200","49200 - Грузовой железнодорожный транспорт"
"49310","49310 - Городской и пригородный сухопутный пассажирский транспорт"
"49320","49320 - Деятельность такси"
"49390","49390 - Прочие виды сухопутных пассажирских перевозок, не включенные в другие категории"
"49410","49410 - Грузовые перевозки автомобильным транспортом"
"49420","49420 - Услуги по перевозкам (переезду)"
"49500","49500 - Транспортирование по трубопроводу"
"50100","50100 - Морской и прибрежный пассажирский транспорт"
"50200","50200 - Морской и прибрежный грузовой транспорт"
"50300","50300 - Речной пассажирский транспорт"
"50400","50400 - Речной грузовой транспорт"
"51100","51100 - Пассажирский воздушный транспорт"
"51210","51210 - Грузовой воздушный транспорт"
"51220","51220 - Транспортная космическая система"
"52100","52100 - Складирование и хранение"
"52210","52210 - Услуги в области сухопутного транспорта"
"52220","52220 - Услуги в области водного транспорта"
"52230","52230 - Услуги в области воздушного транспорта"
"52240","52240 - Транспортная обработка грузов"
"52291","52291 - Организация транспортировки по железной дороге, автотранспортом, морем или по воздуху"
